Age,City,Economic Status,Profession,Most Used Pokemon Type,Average Pokemon Level,Criminal Record,PokéBall Usage,Win Ratio,Number of Gym Badges,Is Pokemon Champion,Battle Strategy,Number of Migrations,Rare Item Holder,Debt to Kanto,Charity Participation,Team Rocket,Name
62,Fuchsia City,Low,Gym Leader Assistant,Poison,59,1,HealBall,82,1,False,Aggressive,5,False,91340,False,True,Brian Wilson
63,Fuchsia City,High,Underground Battler,Fairy,40,0,DarkBall,56,2,False,Defensive,1,False,62650,True,False,James Lopez
23,Pewter City,Middle,PokéMart Seller,Ghost,82,0,NetBall,44,0,False,Defensive,7,False,20397,True,False,Adam Lee
58,Vermilion City,Middle,PokéMart Seller,Flying,48,0,UltraBall,80,4,False,Defensive,13,False,80915,True,False,Steven Harris
21,Pallet Town,Low,Casino Worker,Normal,26,0,TimerBall,23,4,False,Unpredictable,9,False,15140,True,False,Charles Johnson
66,Viridian City,Middle,Daycare Worker,Rock,66,0,TimerBall,24,1,False,Defensive,9,False,3328,True,False,John Taylor
54,Cerulean City,Middle,Daycare Worker,Electric,19,0,MasterBall,35,1,False,Defensive,6,False,66603,True,False,Thomas Rodriguez
25,Pewter City,Low,Gym Leader Assistant,Water,55,0,PokéBall,75,5,False,Defensive,6,False,59492,True,False,Ryan Clark
44,Celadon City,Middle,Breeder,Grass,56,0,MasterBall,73,0,False,Aggressive,8,False,15234,True,False,Jacob White
56,Vermilion City,Middle,Fisherman,Ground,87,0,DuskBall,78,2,False,Aggressive,22,False,1825,True,False,Paul Hernández
28,Viridian City,Middle,Scientist,Ghost,43,0,PokéBall,39,4,False,Aggressive,13,False,142169,False,True,Aaron Young
47,Vermilion City,Low,Black Market Dealer,Rock,30,0,DuskBall,44,4,False,Aggressive,6,False,54415,True,False,Ethan Smith
12,Saffron City,Middle,Casino Worker,Rock,83,0,HealBall,25,4,False,Unpredictable,25,False,1166,True,False,Jacob Perez
52,Fuchsia City,High,Researcher,Fairy,71,0,GreatBall,62,2,False,Unpredictable,10,False,48000,True,False,William Ramirez
60,Saffron City,Low,Researcher,Water,78,0,TimerBall,71,1,False,Unpredictable,15,False,50542,True,False,Ryan Taylor
40,Cerulean City,Low,Daycare Worker,Steel,85,0,PokéBall,57,2,False,Defensive,0,False,77581,True,False,Joshua Davis
70,Pewter City,Low,Champion,Bug,8,0,NetBall,20,0,False,Defensive,21,False,19497,True,False,Kevin Ramirez
49,Saffron City,Middle,Nurse,Dragon,18,0,TimerBall,26,0,False,Aggressive,0,False,18693,True,False,David Clark
30,Cerulean City,Low,Casino Worker,Ground,92,0,LuxuryBall,79,4,False,Aggressive,12,False,68522,True,False,Daniel Lopez
66,Pewter City,Low,Breeder,Ice,33,0,LuxuryBall,41,4,False,Unpredictable,0,False,27805,True,False,Mark Williams
46,Viridian City,Middle,Nurse,Steel,38,0,UltraBall,30,6,False,Aggressive,12,False,31772,True,False,Jacob Johnson
70,Viridian City,Middle,Breeder,Electric,71,0,TimerBall,33,0,False,Unpredictable,15,False,61112,True,False,George Williams
22,Viridian City,Middle,Rocket Grunt,Poison,37,0,TimerBall,49,4,False,Aggressive,8,False,261,True,False,Edward Ramirez
43,Cinnabar Island,Middle,PokéMart Seller,Psychic,85,0,LuxuryBall,59,2,False,Aggressive,24,False,98095,True,False,Paul Miller
28,Fuchsia City,High,Casino Worker,Rock,98,0,TimerBall,85,5,False,Aggressive,10,False,45245,True,False,Brian Young
10,Pallet Town,Low,Casino Worker,Flying,22,0,NetBall,20,0,False,Defensive,10,False,50881,True,False,Mark Ramirez
24,Cerulean City,Middle,Casino Worker,Bug,68,0,PokéBall,48,1,False,Unpredictable,8,False,46769,True,False,Christopher Moore
15,Pallet Town,Low,Biker,Poison,96,0,MasterBall,27,2,False,Defensive,9,False,16952,True,False,Matthew Williams
59,Pallet Town,Low,Scientist,Dark,65,0,MasterBall,29,4,False,Aggressive,6,False,88912,True,False,Kevin Gonzalez
50,Pewter City,Middle,Casino Worker,Poison,23,0,NetBall,25,1,False,Unpredictable,15,False,91935,True,False,Ethan Brown
34,Fuchsia City,Middle,Champion,Psychic,65,0,LuxuryBall,24,6,False,Unpredictable,17,False,43649,True,False,Charles Perez
26,Saffron City,Middle,Underground Battler,Fire,34,0,HealBall,62,6,False,Unpredictable,17,False,73896,True,False,Brian Williams
53,Vermilion City,Low,Underground Battler,Water,43,0,NetBall,80,0,False,Unpredictable,20,False,37719,True,False,Adam White
20,Saffron City,Middle,Biker,Water,83,0,PokéBall,22,1,False,Defensive,21,False,5854,True,False,Joshua Perez
50,Celadon City,Middle,Gym Leader Assistant,Rock,67,0,MasterBall,61,0,False,Defensive,2,False,7676,True,False,John Martin
12,Viridian City,Middle,Police Officer,Poison,78,0,TimerBall,29,0,False,Defensive,24,False,46118,True,False,Steven Walker
29,Vermilion City,Middle,Researcher,Dark,75,1,DarkBall,53,0,True,Aggressive,6,False,167251,False,True,George White
54,Vermilion City,Low,Rocket Grunt,Electric,47,0,DuskBall,22,2,False,Defensive,17,False,76049,True,False,Steven Jackson
50,Celadon City,Middle,Elite Trainer,Electric,36,0,TimerBall,22,5,False,Unpredictable,22,False,32242,True,False,Aaron Moore
41,Cerulean City,High,Black Market Dealer,Fairy,9,0,UltraBall,26,5,False,Unpredictable,3,False,8399,True,False,James Miller
38,Vermilion City,Middle,Nurse,Fighting,99,0,UltraBall,59,3,False,Unpredictable,10,False,10155,True,False,Jacob Moore
31,Viridian City,Middle,Fisherman,Ground,62,0,LuxuryBall,66,6,False,Defensive,11,False,99936,True,False,Anthony Anderson
43,Viridian City,Middle,Casino Worker,Rock,64,0,TimerBall,26,0,False,Aggressive,14,False,20318,True,False,George Roberts
47,Fuchsia City,Low,Black Market Dealer,Bug,85,1,TimerBall,60,3,False,Aggressive,13,False,328944,False,True,Paul Moore
55,Pewter City,Low,Champion,Flying,31,0,PokéBall,76,0,False,Aggressive,12,False,18320,True,False,Thomas Clark
50,Viridian City,Middle,Daycare Worker,Poison,9,0,NetBall,76,1,False,Aggressive,20,False,14808,True,False,Kevin Rodriguez
41,Pallet Town,High,PokéMart Seller,Electric,59,1,HealBall,77,2,False,Unpredictable,26,True,235244,False,True,Joseph Smith
37,Saffron City,Middle,PokéMart Seller,Dragon,77,0,HealBall,43,0,False,Aggressive,0,False,30559,True,False,Daniel Lee
19,Celadon City,Middle,Rocket Grunt,Ground,93,0,MasterBall,42,3,False,Aggressive,22,False,66064,True,False,Paul Perez
32,Cerulean City,Middle,Casino Worker,Fire,50,0,UltraBall,64,1,False,Aggressive,25,False,5009,True,False,Edward Ramirez
65,Saffron City,Middle,Breeder,Ice,90,0,MasterBall,84,0,False,Aggressive,4,False,28629,True,False,Anthony Martínez
10,Cinnabar Island,Middle,Fisherman,Ghost,17,0,GreatBall,41,6,False,Unpredictable,6,False,72428,True,False,Robert Young
21,Cerulean City,Middle,Scientist,Fighting,22,0,LuxuryBall,58,0,False,Aggressive,24,False,62261,True,False,Robert Harris
15,Cerulean City,High,Gym Leader Assistant,Fairy,13,0,DuskBall,28,0,False,Unpredictable,13,False,76419,True,False,Robert Brown
69,Cerulean City,Low,Elite Trainer,Normal,39,0,LuxuryBall,38,2,False,Unpredictable,21,False,63433,True,False,Paul Lopez
37,Vermilion City,High,PokéMart Seller,Ground,31,0,MasterBall,64,0,False,Aggressive,22,False,36453,True,False,Thomas Lewis
34,Fuchsia City,High,Breeder,Ice,98,0,GreatBall,68,3,False,Aggressive,9,False,66477,True,False,Daniel Williams
19,Fuchsia City,Middle,Biker,Ice,5,0,DuskBall,49,2,False,Unpredictable,5,False,53104,True,False,Michael Moore
22,Cerulean City,Middle,Biker,Ground,94,0,GreatBall,35,6,False,Defensive,15,False,98002,True,False,Robert Lee
23,Pewter City,Middle,Fisherman,Ghost,54,0,PokéBall,32,3,False,Aggressive,3,False,88129,True,False,David Wilson
23,Celadon City,High,Police Officer,Fire,44,0,LuxuryBall,33,3,False,Defensive,22,False,54268,True,False,Jason Smith
26,Vermilion City,Low,Rocket Grunt,Flying,43,0,HealBall,27,1,False,Aggressive,18,False,38207,True,False,Kevin Roberts
58,Celadon City,Low,Elite Trainer,Psychic,14,0,TimerBall,66,1,False,Unpredictable,15,False,99072,True,False,Anthony Anderson
54,Pewter City,Low,Champion,Bug,20,0,NetBall,58,1,False,Unpredictable,7,False,73898,True,False,George Williams
10,Saffron City,Low,Breeder,Grass,76,0,GreatBall,65,3,False,Aggressive,14,False,44261,True,False,Ethan Thomas
52,Cerulean City,Middle,Nurse,Psychic,33,0,TimerBall,26,0,False,Defensive,18,False,28439,True,False,Jacob Jackson
12,Vermilion City,Low,Biker,Fighting,51,0,LuxuryBall,55,5,False,Aggressive,17,False,96650,True,False,Samuel Harris
40,Pallet Town,Middle,Daycare Worker,Poison,95,0,GreatBall,59,3,False,Unpredictable,5,False,58256,True,False,Matthew Williams
25,Cerulean City,Middle,Casino Worker,Bug,49,0,LuxuryBall,75,3,False,Unpredictable,22,False,55508,False,True,Daniel Williams
33,Pallet Town,High,Black Market Dealer,Grass,74,0,TimerBall,32,2,False,Unpredictable,17,False,21870,True,False,James Rodriguez
68,Viridian City,Low,Elite Trainer,Grass,36,0,GreatBall,73,0,False,Unpredictable,2,False,84076,True,False,David Williams
19,Fuchsia City,Middle,Biker,Grass,45,0,LuxuryBall,75,2,False,Defensive,6,False,27052,True,False,George Moore
47,Saffron City,Middle,Researcher,Flying,5,0,HealBall,42,3,False,Unpredictable,16,False,44836,True,False,Joseph Harris
46,Lavender Town,High,Black Market Dealer,Bug,41,0,HealBall,63,0,False,Unpredictable,20,False,95923,True,False,David Rodriguez
29,Viridian City,Middle,Underground Battler,Flying,74,0,UltraBall,24,3,False,Unpredictable,3,False,20000,True,False,Ryan Johnson
33,Viridian City,Low,Nurse,Bug,20,0,TimerBall,22,1,False,Defensive,2,False,65158,True,False,Thomas Brown
28,Vermilion City,Low,Police Officer,Fairy,6,0,UltraBall,70,2,False,Unpredictable,7,False,57672,True,False,David Jackson
11,Cerulean City,Middle,Underground Battler,Flying,58,0,TimerBall,53,6,False,Aggressive,25,False,91370,True,False,Joseph Walker
49,Vermilion City,Low,Champion,Fighting,34,0,PokéBall,78,0,False,Aggressive,13,False,69465,True,False,William Clark
52,Celadon City,Middle,Biker,Flying,23,0,GreatBall,39,2,False,Defensive,24,False,7473,True,False,George Rodriguez
33,Lavender Town,Middle,PokéMart Seller,Normal,27,0,PokéBall,83,0,False,Defensive,25,True,311712,False,True,Jason White
22,Pallet Town,Low,Scientist,Flying,35,0,MasterBall,67,2,False,Defensive,8,False,29037,True,False,Ryan Young
28,Cerulean City,Middle,Police Officer,Normal,15,0,MasterBall,78,2,False,Aggressive,24,False,27958,True,False,Kevin Johnson
60,Viridian City,Middle,PokéMart Seller,Normal,71,0,MasterBall,72,5,False,Aggressive,12,False,99944,True,False,Charles Jones
17,Vermilion City,High,Casino Worker,Fire,39,0,PokéBall,41,0,False,Unpredictable,22,False,99441,True,False,Kevin Gonzalez
20,Vermilion City,Middle,Police Officer,Dark,8,0,NetBall,77,0,False,Unpredictable,13,False,54872,True,False,Robert Gonzalez
34,Pewter City,Low,Police Officer,Rock,58,0,MasterBall,78,0,False,Defensive,14,False,37810,True,False,Joshua Wilson
36,Vermilion City,Middle,Fisherman,Flying,14,0,TimerBall,26,2,False,Aggressive,25,False,8817,True,False,Edward Martínez
56,Lavender Town,Middle,Black Market Dealer,Rock,92,0,PokéBall,31,1,False,Unpredictable,7,False,34616,True,False,Steven Taylor
15,Vermilion City,Middle,Fisherman,Psychic,94,0,MasterBall,37,3,False,Unpredictable,6,False,95585,True,False,Henry White
13,Cinnabar Island,Low,Black Market Dealer,Poison,86,0,PokéBall,80,1,False,Aggressive,12,False,78519,True,False,Matthew Thomas
33,Vermilion City,High,Breeder,Fire,77,1,DuskBall,34,8,False,Defensive,29,False,356378,True,True,Andrew Miller
63,Celadon City,Middle,Daycare Worker,Electric,93,0,HealBall,29,1,False,Unpredictable,20,False,57240,True,False,David Gonzalez
34,Saffron City,Middle,Biker,Flying,47,0,GreatBall,24,3,False,Defensive,16,False,19452,True,False,Matthew García
51,Cinnabar Island,Low,Biker,Fighting,98,0,GreatBall,30,3,False,Defensive,0,False,9433,True,False,Aaron Young
52,Lavender Town,High,Gym Leader Assistant,Grass,67,0,HealBall,67,2,False,Defensive,22,False,50128,True,False,Anthony Rodriguez
20,Viridian City,High,Nurse,Electric,83,0,DuskBall,51,0,False,Unpredictable,11,False,40771,True,False,Michael Martínez
30,Vermilion City,High,Fisherman,Rock,9,0,PokéBall,79,0,False,Aggressive,19,False,59721,True,False,Mark Jackson
39,Celadon City,Middle,Black Market Dealer,Steel,92,0,MasterBall,77,1,False,Aggressive,17,False,83058,True,False,Anthony Jackson
44,Cerulean City,Low,Scientist,Grass,45,0,DuskBall,45,0,False,Unpredictable,15,False,43830,True,False,Christopher Perez
69,Fuchsia City,High,Police Officer,Fire,41,0,PokéBall,44,2,False,Unpredictable,19,False,20875,True,False,Aaron Clark
26,Vermilion City,High,Black Market Dealer,Steel,46,0,DuskBall,84,4,False,Aggressive,25,False,29384,True,False,Christopher Davis
20,Vermilion City,Low,Rocket Grunt,Poison,43,0,DarkBall,47,6,False,Defensive,10,False,38475,True,False,Jason Johnson
56,Cinnabar Island,High,Elite Trainer,Grass,97,0,GreatBall,46,5,False,Aggressive,19,False,73405,True,False,Adam Williams
68,Cinnabar Island,Low,Biker,Electric,45,0,UltraBall,38,3,False,Unpredictable,19,False,15543,True,False,Richard Clark
33,Saffron City,Low,Casino Worker,Normal,97,0,UltraBall,54,5,False,Unpredictable,14,False,17244,True,False,Steven Perez
54,Fuchsia City,Low,Researcher,Electric,75,0,PokéBall,59,1,False,Unpredictable,14,False,21696,True,False,Jason Young
55,Celadon City,Middle,PokéMart Seller,Ghost,35,0,PokéBall,43,4,False,Defensive,23,False,74170,True,False,David Anderson
13,Saffron City,Low,Nurse,Steel,52,0,UltraBall,38,3,False,Aggressive,4,False,88097,True,False,Anthony Thomas
39,Viridian City,Middle,Elite Trainer,Ghost,41,0,DuskBall,36,3,False,Defensive,21,False,80475,True,False,Jacob Jones
62,Cerulean City,Middle,Nurse,Psychic,74,0,PokéBall,60,2,False,Aggressive,21,False,66135,True,False,Ryan Sanchez
36,Lavender Town,Low,Nurse,Ghost,80,0,PokéBall,84,2,False,Unpredictable,18,False,31954,True,False,John Johnson
24,Saffron City,Middle,Fisherman,Fairy,38,0,DuskBall,57,1,False,Aggressive,8,False,36103,True,False,Richard Lopez
33,Lavender Town,Low,Biker,Fire,72,0,GreatBall,38,4,False,Unpredictable,5,False,20346,True,False,Joseph Clark
43,Pallet Town,Low,Casino Worker,Normal,10,0,GreatBall,79,5,False,Defensive,23,False,2724,True,False,Mark Rodriguez
34,Cerulean City,Middle,Elite Trainer,Dragon,19,0,NetBall,73,0,False,Unpredictable,18,False,32962,True,False,Charles Perez
70,Pewter City,Middle,Underground Battler,Fire,96,0,HealBall,56,2,False,Defensive,7,False,16085,True,False,Anthony Rodriguez
18,Cerulean City,Low,Breeder,Psychic,30,0,DarkBall,54,4,False,Defensive,4,False,78354,True,False,Robert Lewis
66,Celadon City,Middle,Underground Battler,Normal,28,0,LuxuryBall,70,0,False,Defensive,30,True,288525,False,True,Samuel Clark
46,Lavender Town,High,Breeder,Ground,22,0,PokéBall,80,3,False,Defensive,4,False,94836,True,False,Ethan Johnson
18,Cerulean City,Middle,Underground Battler,Psychic,76,0,NetBall,85,2,False,Aggressive,0,False,35930,True,False,Joseph Jones
10,Viridian City,Middle,Casino Worker,Electric,84,0,DarkBall,67,0,False,Defensive,19,False,49739,True,False,Aaron Miller
39,Vermilion City,Middle,PokéMart Seller,Psychic,15,0,UltraBall,32,0,False,Defensive,9,False,14981,True,False,Daniel Lopez
52,Lavender Town,Middle,Fisherman,Dark,90,0,HealBall,64,1,False,Unpredictable,4,False,33540,True,False,James Moore
17,Pallet Town,High,Gym Leader Assistant,Fire,27,0,MasterBall,68,3,False,Defensive,25,False,19900,True,False,Aaron Clark
30,Pallet Town,Low,Casino Worker,Fire,60,0,MasterBall,72,0,False,Unpredictable,15,False,96153,True,False,James Ramirez
22,Cinnabar Island,Middle,Elite Trainer,Ice,24,0,TimerBall,42,2,False,Aggressive,7,False,97423,True,False,Joseph Perez
32,Cinnabar Island,Middle,Rocket Grunt,Ground,60,0,HealBall,65,0,False,Unpredictable,24,False,38759,True,False,Adam Jackson
59,Fuchsia City,Low,Black Market Dealer,Ground,70,0,MasterBall,47,0,False,Defensive,20,False,92272,True,False,Adam Smith
54,Pallet Town,Low,Daycare Worker,Poison,25,0,DuskBall,44,1,False,Defensive,2,False,33831,True,False,Daniel Lee
25,Vermilion City,Low,Rocket Grunt,Poison,19,0,PokéBall,56,3,False,Aggressive,7,False,53899,True,False,Christopher Hernández
55,Cerulean City,Low,Underground Battler,Electric,83,0,UltraBall,58,0,False,Defensive,1,False,17411,True,False,Jacob Walker
15,Pewter City,Low,Researcher,Rock,83,0,MasterBall,29,3,False,Unpredictable,5,False,43949,True,False,Thomas Clark
36,Celadon City,High,Police Officer,Grass,17,0,TimerBall,72,3,False,Aggressive,5,False,51195,True,False,Daniel Hernández
53,Cinnabar Island,Middle,Daycare Worker,Fire,94,0,DuskBall,33,7,False,Unpredictable,20,False,48943,True,False,Anthony Moore
46,Viridian City,Low,Gym Leader Assistant,Ice,95,0,NetBall,30,0,False,Unpredictable,25,False,59448,True,False,Brian Smith
68,Cinnabar Island,Low,Elite Trainer,Ground,43,0,DuskBall,56,1,False,Aggressive,10,False,80673,True,False,Ryan Martínez
37,Vermilion City,Middle,Biker,Water,18,0,MasterBall,59,1,False,Aggressive,8,False,98733,True,False,Anthony Hernández
56,Celadon City,Low,Police Officer,Electric,16,0,NetBall,45,1,False,Defensive,7,False,82619,True,False,Adam Gonzalez
51,Saffron City,Middle,Daycare Worker,Electric,67,0,TimerBall,20,0,False,Defensive,5,False,35643,True,False,David Harris
10,Pewter City,Low,Fisherman,Normal,89,0,TimerBall,34,4,False,Aggressive,14,False,32281,True,False,Ethan Thomas
67,Fuchsia City,Middle,Fisherman,Water,70,0,PokéBall,36,4,False,Aggressive,1,False,79365,True,False,John Martin
28,Cerulean City,High,Elite Trainer,Fire,18,0,NetBall,43,0,False,Defensive,2,False,21741,True,False,David Hernández
11,Saffron City,Low,Breeder,Dark,30,0,GreatBall,35,2,False,Aggressive,12,False,25763,True,False,Matthew Perez
23,Vermilion City,High,Biker,Steel,52,0,DuskBall,27,5,False,Aggressive,16,False,31524,True,False,Robert Gonzalez
61,Lavender Town,Middle,Rocket Grunt,Dragon,35,0,GreatBall,23,5,False,Unpredictable,9,False,94428,True,False,Thomas Gonzalez
43,Saffron City,Middle,Underground Battler,Ground,69,0,DuskBall,60,6,False,Aggressive,1,False,76082,True,False,Steven Miller
42,Celadon City,Low,Elite Trainer,Fighting,53,0,NetBall,40,0,False,Aggressive,24,False,30042,True,False,William Jones
49,Lavender Town,Middle,Elite Trainer,Water,22,0,DarkBall,34,0,False,Defensive,1,False,50629,True,False,Christopher Williams
20,Lavender Town,Middle,Researcher,Dark,24,0,HealBall,56,2,False,Unpredictable,0,False,87561,True,False,Adam Johnson
36,Vermilion City,Low,Police Officer,Dark,63,0,DuskBall,59,2,False,Aggressive,3,False,22257,True,False,Matthew Clark
47,Cinnabar Island,Low,Biker,Bug,65,0,UltraBall,48,3,False,Aggressive,6,False,76773,True,False,Samuel Smith
32,Lavender Town,Low,Police Officer,Normal,89,0,MasterBall,79,1,False,Unpredictable,0,False,63976,True,False,Andrew Sanchez
18,Pallet Town,Middle,Champion,Ghost,89,0,TimerBall,27,3,False,Aggressive,4,False,19605,True,False,Daniel Rodriguez
28,Vermilion City,Low,Underground Battler,Poison,17,1,GreatBall,61,4,False,Defensive,22,True,330662,True,True,Michael Gonzalez
22,Cerulean City,Middle,Police Officer,Poison,90,0,DuskBall,29,4,False,Unpredictable,2,False,36000,True,False,Joseph Sanchez
48,Saffron City,Middle,PokéMart Seller,Dragon,61,0,DarkBall,76,0,False,Unpredictable,14,False,7895,True,False,Charles Brown
38,Pewter City,Middle,Rocket Grunt,Bug,26,0,MasterBall,61,6,False,Unpredictable,6,False,39465,True,False,Brian Martin
61,Lavender Town,Low,Elite Trainer,Psychic,62,0,DarkBall,58,3,False,Unpredictable,20,False,13613,False,True,Henry Taylor
51,Viridian City,Middle,Researcher,Rock,42,1,MasterBall,49,0,True,Unpredictable,22,True,190768,False,True,John Moore
39,Cinnabar Island,Low,Researcher,Grass,93,0,HealBall,44,0,False,Unpredictable,17,False,84007,True,False,Brian Martin
44,Lavender Town,High,Rocket Grunt,Steel,22,0,GreatBall,46,3,False,Unpredictable,14,False,99877,True,False,Daniel García
53,Lavender Town,Middle,Black Market Dealer,Ground,45,0,GreatBall,67,4,False,Aggressive,25,False,93077,True,False,Michael Smith
54,Lavender Town,High,Nurse,Dark,57,0,PokéBall,25,2,False,Aggressive,11,False,85603,True,False,Anthony Clark
38,Pewter City,Middle,PokéMart Seller,Normal,40,0,TimerBall,77,3,False,Defensive,18,False,24063,True,False,Daniel Moore
68,Cerulean City,Middle,Rocket Grunt,Normal,87,0,NetBall,38,2,False,Defensive,2,False,59378,True,False,Joshua White
22,Fuchsia City,Middle,Champion,Fairy,51,0,DuskBall,67,2,False,Defensive,10,False,336,True,False,John Gonzalez
67,Pewter City,Low,Casino Worker,Ice,29,0,MasterBall,80,2,False,Defensive,18,True,137348,False,True,Jacob Lopez
43,Vermilion City,Middle,Nurse,Psychic,28,0,TimerBall,40,3,False,Defensive,3,False,12813,True,False,Matthew Jones
41,Vermilion City,Low,Researcher,Bug,7,0,LuxuryBall,34,1,False,Defensive,21,False,54991,True,False,Charles Brown
50,Viridian City,Middle,Police Officer,Ground,54,0,MasterBall,40,0,False,Defensive,13,False,36742,True,False,Jacob Lewis
23,Vermilion City,Low,Researcher,Fire,38,0,NetBall,71,3,False,Unpredictable,10,False,66292,True,False,Charles García
35,Cinnabar Island,Middle,Fisherman,Ghost,47,0,HealBall,85,0,False,Aggressive,0,False,79946,True,False,Steven Perez
49,Cinnabar Island,High,Champion,Steel,77,0,DarkBall,73,1,False,Defensive,16,False,4505,True,False,Thomas Miller
11,Vermilion City,Middle,Nurse,Bug,16,0,UltraBall,76,0,False,Defensive,6,False,64760,True,False,David Smith
60,Saffron City,Middle,Daycare Worker,Ice,85,0,MasterBall,66,1,False,Aggressive,19,False,74849,True,False,Brian Walker
29,Saffron City,Middle,Nurse,Ice,22,0,HealBall,75,0,False,Defensive,3,False,79800,True,False,George Moore
13,Lavender Town,Middle,Nurse,Dark,5,0,PokéBall,85,7,False,Unpredictable,4,False,83736,True,False,James Hernández
26,Pewter City,Middle,Elite Trainer,Ghost,81,0,HealBall,43,1,False,Unpredictable,17,False,31212,True,False,Kevin Brown
25,Pewter City,High,Gym Leader Assistant,Dark,10,0,HealBall,84,3,False,Defensive,25,True,360303,False,True,Samuel Davis
17,Vermilion City,Middle,Scientist,Fire,75,0,GreatBall,41,5,False,Defensive,24,False,20074,True,False,Joseph Martin
45,Fuchsia City,Middle,Rocket Grunt,Poison,66,0,TimerBall,48,5,False,Aggressive,0,False,88601,True,False,Samuel Perez
46,Celadon City,Middle,Casino Worker,Bug,32,0,GreatBall,65,3,False,Defensive,17,False,99393,True,False,Brian Hernández
56,Cerulean City,High,PokéMart Seller,Fire,30,1,MasterBall,54,1,False,Defensive,20,False,339474,False,True,Adam Martin
48,Vermilion City,Middle,PokéMart Seller,Poison,38,0,UltraBall,49,1,False,Defensive,17,False,23621,True,False,Joseph White
40,Pallet Town,Low,Casino Worker,Bug,19,0,PokéBall,39,7,False,Unpredictable,19,False,22979,True,False,Brian Walker
54,Viridian City,Low,Champion,Bug,58,0,UltraBall,78,1,False,Unpredictable,23,False,21828,True,False,Edward Lee
13,Fuchsia City,Middle,Rocket Grunt,Ground,17,0,NetBall,43,0,False,Unpredictable,25,False,40188,True,False,Joseph Moore
69,Viridian City,High,Police Officer,Rock,15,0,UltraBall,75,0,False,Defensive,22,False,65297,True,False,Joseph Rodriguez
40,Viridian City,Middle,Researcher,Ground,52,0,MasterBall,59,0,False,Aggressive,19,False,80504,True,False,Aaron Perez
28,Viridian City,Low,Daycare Worker,Fire,41,0,NetBall,84,0,False,Aggressive,16,False,89401,True,False,Mark Lewis
33,Pewter City,Middle,PokéMart Seller,Steel,62,0,GreatBall,81,3,False,Defensive,1,False,86845,True,False,Jason White
12,Cinnabar Island,Low,Daycare Worker,Electric,42,0,MasterBall,46,0,False,Defensive,8,False,16010,True,False,David Roberts
26,Pallet Town,Middle,Breeder,Fighting,93,0,NetBall,35,0,False,Defensive,6,False,15154,True,False,Daniel Johnson
